雪浪镇	1	22	58523	1287284	0.001592191606
大坳	1	9	119078	1226742	1786.0784949
乡古堆	1	1	657983	687845	331.297552139
镇塘浪	1	1	657983	687845	331.297552139
岗察	1	1	657983	687845	331.297552139
大坞	1	27	58523	1287279	2275.7655967
大坝	15	314	58509	1286992	1966.67970095
大坎	1	1	657983	687845	331.297552139
汇成	1	19	58523	1287287	1142.34633789
光机电	3	3	657981	687843	993.895610422
光机电	1	5	212551	1133273	615.82945021
专用基金	1	1	657983	687845	331.297552139
大哨	1	12	119078	1226739	2336.79197835
乡古家	1	1	657983	687845	331.297552139
大后	2	2	657982	687844	662.596088945
大周	4	4	657980	687842	1325.19611657
丽岗	1	10	119078	1226741	87.3542782229
大员	1	1	657983	687845	331.297552139
鸿声	4	20	212548	1133258	2463.35074743
宁村	1	1	657983	687845	331.297552139
翟店	6	6	657978	687840	1987.80008292
宁朔	1	1	657983	687845	331.297552139
外交	1	1	657983	687845	331.297552139
博郡	1	1	657983	687845	331.297552139
渣角	1	1	657983	687845	331.297552139
漳平市	49	498	119030	1226253	890.40294079
职院	1	6	212551	1133272	2141.40419824
丽州	1	6	212551	1133272	2141.40419824
凯城	1	1	657983	687845	331.297552139
千	3	66	58521	1287240	0.00477673808803
磊	4	14	297687	1048125	25.5572234458
百樵	1	1	657983	687845	331.297552139
阔勒	1	1	657983	687845	331.297552139
漆桥	1	1	657983	687845	331.297552139
新一洲	1	1	657983	687845	331.297552139
鼎新	11	40	297680	1048099	2083.02604824
鼎新	2	49	58522	1287257	1251.35641019
百日	1	1	657983	687845	331.297552139
镇大魏	1	1	657983	687845	331.297552139
蔡集村	1	1	657983	687845	331.297552139
乐德镇	1	1	657983	687845	331.297552139
浑江	3	11	297688	1048128	899.500688271
宗易	1	1	657983	687845	331.297552139
八龙	1	1	657983	687845	331.297552139
大宜	1	1	657983	687845	331.297552139
大定	1	6	212551	1133272	2141.40419824
斗门镇	2	41	58522	1287265	529.988433395
汇海	3	10	297688	1048129	1603.74959248
库西	2	7	297689	1048132	12.7785262676
截污	1	1	657983	687845	331.297552139
泽普	3	3	657981	687843	993.895610422
大子	2	19	119077	1226732	1290.82854009
贤官	2	2	657982	687844	662.596088945
吕梁市	1	6	212551	1133272	2141.40419824
仙女湖	1	5	212551	1133273	615.82945021
大境	2	22	119077	1226729	855.571794152
进士	7	7	657977	687839	2319.10354313
景哈乡	1	1	657983	687845	331.297552139
苑前	3	3	657981	687843	993.895610422
大堡	9	90	119070	1226661	786.23991442
双湾乡	1	11	119078	1226740	427.782082718
大妥	1	1	657983	687845	331.297552139
王虎寨	1	1	657983	687845	331.297552139
宁武	2	40	58522	1287266	965.857516085
拾联	1	1	657983	687845	331.297552139
大妙	2	11	212550	1133267	292.332478853
阔布	1	10	119078	1226741	87.3542782229
正科乡	1	1	657983	687845	331.297552139
浦庄镇	1	1	657983	687845	331.297552139
大姐	2	2	657982	687844	662.596088945
枨	2	20	119077	1226731	174.709984431
周士	2	2	657982	687844	662.596088945
周张	1	1	657983	687845	331.297552139
大库	1	12	119078	1226739	2336.79197835
涿鹿县	35	360	119044	1226391	8.66115631606
东小滩	1	1	657983	687845	331.297552139
程营	2	2	657982	687844	662.596088945
召什村	1	1	657983	687845	331.297552139
后经	1	1	657983	687845	331.297552139
乡新发	2	7	297689	1048132	12.7785262676
鸿博	3	10	297688	1048129	1603.74959248
鸿博	1	12	119078	1226739	2336.79197835
大帝	2	7	297689	1048132	12.7785262676
南嘴	3	3	657981	687843	993.895610422
南嘴	1	5	212551	1133273	615.82945021
乡炬光	1	1	657983	687845	331.297552139
贤庄	1	1	657983	687845	331.297552139
张童	1	1	657983	687845	331.297552139
鼠街	1	12	119078	1226739	2336.79197835
周市	1	5	212551	1133273	615.82945021
二路	1	25	58523	1287281	883.187540282
宁洱	5	5	657979	687841	1656.49760741
宁洱	1	9	119078	1226742	1786.0784949
绿塔路	2	2	657982	687844	662.596088945
涠	2	7	297689	1048132	12.7785262676
北望	2	2	657982	687844	662.596088945
百恒	1	1	657983	687845	331.297552139
周庄	7	160	58517	1287146	553.54535587
鸿利	2	7	297689	1048132	12.7785262676
上江乡	4	42	119075	1226709	143.687548864
大录	3	17	212549	1133261	1694.2808606
南园	2	47	58522	1287259	469.822511468
户县	1	9	119078	1226742	1786.0784949
乌尔禾	4	4	657980	687842	1325.19611657
大尧	2	2	657982	687844	662.596088945
宁源	1	5	212551	1133273	615.82945021
锡铁山	1	1	657983	687845	331.297552139
周屯	1	1	657983	687845	331.297552139
二运	1	1	657983	687845	331.297552139
二连	2	21	119077	1226730	71.8425466136
竟赛	2	2	657982	687844	662.596088945
库车	1	18	58523	1287288	2139.07598725
鼎成	2	7	297689	1048132	12.7785262676
古培	1	1	657983	687845	331.297552139
高平	3	59	58521	1287247	2004.88273783
大亚湾	50	174	297641	1047965	1229.31590679
大亚湾	20	204	119059	1226547	195.750734295
趺	1	1	657983	687845	331.297552139
重钢	3	11	297688	1048128	899.500688271
镇美	1	1	657983	687845	331.297552139
咨卡	1	1	657983	687845	331.297552139
乡卫罗庵	1	1	657983	687845	331.297552139
镇海区	3	66	58521	1287240	0.00477673808803
大成	8	190	58516	1287116	2530.54055357
复康	1	5	212551	1133273	615.82945021
红莫镇	1	1	657983	687845	331.297552139
滨河公园	1	6	212551	1133272	2141.40419824
乡新溪	2	2	657982	687844	662.596088945
岸头	1	10	119078	1226741	87.3542782229
大排	1	1	657983	687845	331.297552139
鸿源	2	23	119077	1226728	2419.50800376
三十户	1	1	657983	687845	331.297552139
丰亭	1	1	657983	687845	331.297552139
百山	1	1	657983	687845	331.297552139
韦家营	1	11	119078	1226740	427.782082718
镇纸	3	10	297688	1048129	1603.74959248
乡新湾	1	1	657983	687845	331.297552139
乡北营	2	2	657982	687844	662.596088945
重阳	2	46	58522	1287260	213.698090032
隆镇楼	1	1	657983	687845	331.297552139
米甸乡	1	1	657983	687845	331.297552139
刁庄	3	3	657981	687843	993.895610422
奇韬镇	4	4	657980	687842	1325.19611657
漆工	1	5	212551	1133273	615.82945021
青杏沟	1	1	657983	687845	331.297552139
贺王	1	1	657983	687845	331.297552139
院上	1	1	657983	687845	331.297552139
普崖村	1	1	657983	687845	331.297552139
乡二荒	2	2	657982	687844	662.596088945
百度	1	10	119078	1226741	87.3542782229
舒兴	1	1	657983	687845	331.297552139
镇粱	4	4	657980	687842	1325.19611657
大埠岗	3	3	657981	687843	993.895610422
泽山	1	1	657983	687845	331.297552139
石公坑	1	1	657983	687845	331.297552139
于家堡	1	1	657983	687845	331.297552139
丽湾	1	1	657983	687845	331.297552139
慎行	1	1	657983	687845	331.297552139
漆家	1	1	657983	687845	331.297552139
大曲	4	4	657980	687842	1325.19611657
雅周	1	1	657983	687845	331.297552139
镇筠	1	1	657983	687845	331.297552139
乡侯楼	1	1	657983	687845	331.297552139
大明	20	105	212532	1133173	718.289729175
乔岔滩	1	6	212551	1133272	2141.40419824
大果	1	1	657983	687845	331.297552139
训练场	1	11	119078	1226740	427.782082718
训练场	2	10	212550	1133268	1231.66439147
大柱	1	1	657983	687845	331.297552139
汇兴	2	2	657982	687844	662.596088945
大有	11	108	119068	1226643	2507.88950934
大有	5	114	58519	1287192	345.460206762
凯旋	3	30	119076	1226721	262.06711866
乌拉特后旗	4	94	58520	1287212	939.679236737
大来	3	16	212549	1133262	0.0389514301472
大来	1	18	58523	1287288	2139.07598725
大杨	1	18	58523	1287288	2139.07598725
武陵源区	7	71	119072	1226680	167.626152173
多儿	2	2	657982	687844	662.596088945
百寿	3	3	657981	687843	993.895610422
联金	1	1	657983	687845	331.297552139
镇祗	1	1	657983	687845	331.297552139
丽水	10	108	119069	1226643	2214.66212231
凯晟	2	2	657982	687844	662.596088945
镇祉	1	1	657983	687845	331.297552139
凯普	1	9	119078	1226742	1786.0784949
碧龙乡	3	3	657981	687843	993.895610422
碧龙乡	1	5	212551	1133273	615.82945021
镇禄	2	2	657982	687844	662.596088945
外罗	1	1	657983	687845	331.297552139
